date,state,confirmed,deaths
2020-03-21,Casanare,0,0
2020-03-21,Cauca,2,0
2020-03-21,Cesar,0,0
2020-03-21,Choco,0,0
2020-03-21,Cordoba,0,0
2020-03-21,Cundinamarca,8,0
2020-03-21,Guainia,0,0
2020-03-21,Guaviare,0,0
2020-03-21,Huila,10,0
2020-03-21,La Guajira,0,0
2020-03-21,Magdalena,2,0
2020-03-21,Meta,1,0
2020-03-21,Narino,0,0
2020-03-21,Norte de Santander,8,0
2020-03-21,Putumayo,0,0
2020-03-21,Quindio,3,0
2020-03-21,Risaralda,8,0
2020-03-21,San Andres y Providencia,0,0
2020-03-21,Santander,2,0
2020-03-21,Sucre,0,0
2020-03-21,Tolima,3,0
2020-03-21,Valle del Cauca,26,0
2020-03-21,Vaupes,0,0
2020-03-21,Vichada,0,0
2020-03-22,Bogota,92,0
2020-03-22,Amazonas,0,0
2020-03-22,Antioquia,25,0
2020-03-22,Arauca,0,0
2020-03-22,Atlantico,7,0
2020-03-22,Bolivar,14,1
2020-03-22,Boyaca,0,0
2020-03-22,Caldas,6,0
2020-03-22,Caqueta,0,0
2020-03-22,Casanare,1,0
2020-03-22,Cauca,2,0
2020-03-22,Cesar,1,0
2020-03-22,Choco,0,0
2020-03-22,Cordoba,0,0
2020-03-22,Cundinamarca,8,0
2020-03-22,Guainia,0,0
2020-03-22,Guaviare,0,0
2020-03-22,Huila,10,0
2020-03-22,La Guajira,0,0
2020-03-22,Magdalena,2,0
2020-03-22,Meta,1,0
2020-03-22,Narino,0,0
2020-03-22,Norte de Santander,8,0
2020-03-22,Putumayo,0,0
2020-03-22,Quindio,6,0
2020-03-22,Risaralda,13,0
2020-03-22,San Andres y Providencia,1,0
2020-03-22,Santander,3,0
2020-03-22,Sucre,0,0
2020-03-22,Tolima,4,0
2020-03-22,Valle del Cauca,31,1
2020-03-22,Vaupes,0,0
2020-03-22,Vichada,0,0
2020-03-23,Bogota,114,0
2020-03-23,Amazonas,0,0
2020-03-23,Antioquia,51,0
2020-03-23,Arauca,0,0
2020-03-23,Atlantico,7,0
2020-03-23,Bolivar,16,1
2020-03-23,Boyaca,0,0
2020-03-23,Caldas,7,0
2020-03-23,Caqueta,0,0
2020-03-23,Casanare,1,0
2020-03-23,Cauca,2,0
2020-03-23,Cesar,1,0
2020-03-23,Choco,0,0
2020-03-23,Cordoba,0,0
2020-03-23,Cundinamarca,13,0
2020-03-23,Guainia,0,0
2020-03-23,Guaviare,0,0
2020-03-23,Huila,11,0
2020-03-23,La Guajira,0,0
2020-03-23,Magdalena,3,1
2020-03-23,Meta,5,0
2020-03-23,Narino,0,0
2020-03-23,Norte de Santander,8,0
2020-03-23,Putumayo,0,0
2020-03-23,Quindio,7,0
2020-03-23,Risaralda,14,0
2020-03-23,San Andres y Providencia,1,0
2020-03-23,Santander,4,0
2020-03-23,Sucre,0,0
2020-03-23,Tolima,4,0
2020-03-23,Valle del Cauca,37,1
2020-03-23,Vaupes,0,0
2020-03-23,Vichada,0,0
